Title,Year,Source title,DOI,Link
"Capacitated Next Controller Placement in Software Defined Networks",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2720699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023741227&doi=10.1109%2fTNSM.2017.2720699&partnerID=40&md5=e1451a9513daf35aac5e5d7ea89d8f38"
"Large-Scale Dynamic Controller Placement",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2651107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015607736&doi=10.1109%2fTNSM.2017.2651107&partnerID=40&md5=df43a28200f650e8adb882ee5e487544"
"Situation-aware IoT service coordination using the event-driven SOA paradigm",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2541171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976486300&doi=10.1109%2fTNSM.2016.2541171&partnerID=40&md5=e3bb5ccb61362b243e3c9ad6115eaeab"
"Towards a cost optimal design for a 5G mobile core network based on SDN and NFV",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2732505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040965765&doi=10.1109%2fTNSM.2017.2732505&partnerID=40&md5=5729ae1f81510e278d111b88d9ef5f18"
"Adaptive resource management and control in software defined networks",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2402752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961292111&doi=10.1109%2fTNSM.2015.2402752&partnerID=40&md5=4dcdece44130ff8a0606064e0ca4938b"
"Routing Algorithms for Network Function Virtualization Enabled Multicast Topology on SDN",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2465371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961777995&doi=10.1109%2fTNSM.2015.2465371&partnerID=40&md5=d2cf2ac770ff32cb0e827f6ce8203933"
"Secure Data Encryption Based on Quantum Walks for 5G Internet of Things Scenario",2020,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2020.2969863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082030502&doi=10.1109%2fTNSM.2020.2969863&partnerID=40&md5=55e4c2101b50016d39d03d9b587146f7"
"SAFETY: Early Detection and Mitigation of TCP SYN Flood Utilizing Entropy in SDN",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2861741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050971549&doi=10.1109%2fTNSM.2018.2861741&partnerID=40&md5=dfb47036223a30f96dbfb5767f7284a8"
"Mobile Edge Computing Resources Optimization: A Geo-Clustering Approach",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2816263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044070269&doi=10.1109%2fTNSM.2018.2816263&partnerID=40&md5=1193c3a0032b88b914cebe6561d05f2e"
"Topology-Aware Prediction of Virtual Network Function Resource Requirements",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2666781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015707908&doi=10.1109%2fTNSM.2017.2666781&partnerID=40&md5=ee433378beb4eee4f3e052c595003aad"
"Mobile-Edge Computing Versus Centralized Cloud Computing over a Converged FiWi Access Network",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2706085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029351117&doi=10.1109%2fTNSM.2017.2706085&partnerID=40&md5=f9f5e35af9049157c7230aa3d2044b92"
"Online and Scalable Unsupervised Network Anomaly Detection Method",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2627340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015676957&doi=10.1109%2fTNSM.2016.2627340&partnerID=40&md5=d8deba495a255e911dcf89bd204f4df7"
"Service function chain orchestration across multiple domains: A full mesh aggregation approach",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2861717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050964007&doi=10.1109%2fTNSM.2018.2861717&partnerID=40&md5=de4e0bc9a0e8eb1f49fee3fe2cc392bb"
"A decentralized replica placement algorithm for edge computing",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2788945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040076135&doi=10.1109%2fTNSM.2017.2788945&partnerID=40&md5=7da3a96e3c3ea5d5e0e17539a425b98f"
"Capacity-Aware and Delay-Guaranteed Resilient Controller Placement for Software-Defined WANs",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2829661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045727119&doi=10.1109%2fTNSM.2018.2829661&partnerID=40&md5=4d80fd58a5fe863895fe0fbad3d89c42"
"Cost-Efficient NFV-Enabled Mobile Edge-Cloud for Low Latency Mobile Applications",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2790081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040554325&doi=10.1109%2fTNSM.2018.2790081&partnerID=40&md5=374d121c305ce087aa7959db8808777c"
"SDN-Based Virtual Machine Management for Cloud Data Centers",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2528220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976498452&doi=10.1109%2fTNSM.2016.2528220&partnerID=40&md5=c05d48c0dc5272a27df1d7da6c95e23a"
"An SDN-based CDN/ISP collaboration architecture for managing high-volume flows",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2404792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926371343&doi=10.1109%2fTNSM.2015.2404792&partnerID=40&md5=2f967c538ce7083b8875466d5a32138f"
"5G-EmPOWER: A software-defined networking platform for 5G radio access networks",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2908675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071030620&doi=10.1109%2fTNSM.2019.2908675&partnerID=40&md5=b2835d5b6ec42725bbef1531798da732"
"A Load-Balancing Mechanism for Distributed SDN Control Plane Using Response Time",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2876369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055047935&doi=10.1109%2fTNSM.2018.2876369&partnerID=40&md5=454c041ff4b468d9042a0463963230b3"
"Towards Bayesian-Based Trust Management for Insider Attacks in Healthcare Software-Defined Networks",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2815280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043786981&doi=10.1109%2fTNSM.2018.2815280&partnerID=40&md5=157f554c5bf23c9f801df7d1989b6766"
"Dedicated Protection for Survivable Virtual Network Embedding",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2574239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006827061&doi=10.1109%2fTNSM.2016.2574239&partnerID=40&md5=749c9a2430bb423f581fd68a570db81b"
"OpenSec: Policy-Based Security Using Software-Defined Networking",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2517407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963935825&doi=10.1109%2fTNSM.2016.2517407&partnerID=40&md5=8fe6d64f1b56af85976c0141b96754d9"
"Multi-path link embedding for survivability in virtual networks",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2558598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976473159&doi=10.1109%2fTNSM.2016.2558598&partnerID=40&md5=db0222fca75559f1f0b0043732562916"
"A distributed monitoring strategy for detecting version number attacks in RPL-based networks",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2705290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020940920&doi=10.1109%2fTNSM.2017.2705290&partnerID=40&md5=a63e2d5da4bead196c0dce141803bbcd"
"Collaborative Web Service Quality Prediction via Exploiting Matrix Factorization and Network Map",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2517097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963959817&doi=10.1109%2fTNSM.2016.2517097&partnerID=40&md5=3a8cb29b2580ffc93ce4813acebe5636"
"Cognitive Cellular Networks: A Q-Learning Framework for Self-Organizing Networks",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2522080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963946935&doi=10.1109%2fTNSM.2016.2522080&partnerID=40&md5=db49f06c74f20f6e070c2bd1adc6408e"
"A Path Generation Approach to Embedding of Virtual Networks",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2459073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959273316&doi=10.1109%2fTNSM.2015.2459073&partnerID=40&md5=9274282e9fc53bd47db7036d50a3c09b"
"Lucid: A Practical, Lightweight Deep Learning Solution for DDoS Attack Detection",2020,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2020.2971776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085053581&doi=10.1109%2fTNSM.2020.2971776&partnerID=40&md5=94f8631d81e489aadd9cbacf046a1647"
"A Novel Optimal Mapping Algorithm with Less Computational Complexity for Virtual Network Embedding",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2778106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037626022&doi=10.1109%2fTNSM.2017.2778106&partnerID=40&md5=3fa47dae15a90a54042ff9669968cbe1"
"CPVNF: Cost-Efficient Proactive VNF Placement and Chaining for Value-Added Services in Content Delivery Networks",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2815986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043788161&doi=10.1109%2fTNSM.2018.2815986&partnerID=40&md5=659566a98894e9f8b95a54b5bd3082ad"
"Energy Cost Optimization in Dynamic Placement of Virtualized Network Function Chains",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2782370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038834402&doi=10.1109%2fTNSM.2017.2782370&partnerID=40&md5=53d49cfff4a95f6562511a16148bdbeb"
"Next to You: Monitoring Quality of Experience in Cellular Networks from the End-Devices",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2537645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976491348&doi=10.1109%2fTNSM.2016.2537645&partnerID=40&md5=02ce839b3e3a8060ac0d9d62b2cfed6e"
"Energy Efficient Big Data Networks: Impact of Volume and Variety",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2787624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040047336&doi=10.1109%2fTNSM.2017.2787624&partnerID=40&md5=bbca830ff2cd0f316b1688cc78182b09"
"Flex5G: Flexible Functional Split in 5G Networks",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2853707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049674883&doi=10.1109%2fTNSM.2018.2853707&partnerID=40&md5=6c276a95a3fd6a0f9ae8bec783cea704"
"SDN Partitioning: A Centralized Control Plane for Distributed Routing Protocols",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2585759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991289771&doi=10.1109%2fTNSM.2016.2585759&partnerID=40&md5=ece25a403cd4dc1afdca4bb16ef4fae8"
"Mobile Data Offloading Through Caching in Residential 802.11 Wireless Networks",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2521352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963961059&doi=10.1109%2fTNSM.2016.2521352&partnerID=40&md5=b326daed06492c552a9c30b29267af88"
"A Hybrid Hierarchical Control Plane for Flow-Based Large-Scale Software-Defined Networks",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2434612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933037995&doi=10.1109%2fTNSM.2015.2434612&partnerID=40&md5=a1832dbd264034a75a3f359c3b5b989e"
"Multi-Provider Virtual Network Embedding With Limited Information Disclosure",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2417652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933498273&doi=10.1109%2fTNSM.2015.2417652&partnerID=40&md5=5554c26a2f632aaf70ddfb3f726d4f7a"
"IoT-KEEPER: Detecting Malicious IoT Network Activity Using Online Traffic Analysis at the Edge",2020,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2020.2966951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082080776&doi=10.1109%2fTNSM.2020.2966951&partnerID=40&md5=c32f8458b4a1fddc3d3d041d7b6e2149"
"A survey on big data for network traffic monitoring and analysis",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2933358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077310269&doi=10.1109%2fTNSM.2019.2933358&partnerID=40&md5=7035cbde395b61d78524be1875feae35"
"QoS-Aware Fog Resource Provisioning and Mobile Device Power Control in IoT Networks",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2888481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058870451&doi=10.1109%2fTNSM.2018.2888481&partnerID=40&md5=8982ce0128a78744f8493fac288cb60d"
"DetServ: Network models for real-time QoS provisioning in SDN-based industrial environments",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2755769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030682418&doi=10.1109%2fTNSM.2017.2755769&partnerID=40&md5=902c25a1e385df9420bb48bf0d14348e"
"Fuzzy workload orchestration for edge computing",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2901346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062148074&doi=10.1109%2fTNSM.2019.2901346&partnerID=40&md5=7a70aaa37498c42bf9d0cec8562a957d"
