Title,Year,Source title,DOI,Link
"Fair leader election for rational agents in asynchronous rings and networks",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052462313&doi=10.1145%2f3212734.3212767&partnerID=40&md5=f9e97cff8098ac2215b45ae9c6d9f4c2"
"Silence",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052458402&doi=10.1145%2f3212734.3212768&partnerID=40&md5=2ac18631fc17008a2d7ab945bb8a8f5d"
"Distributed approximation of minimum k-edge-connected spanning subgraphs",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052447411&doi=10.1145%2f3212734.3212760&partnerID=40&md5=6053312b2093a3b8575c74daa478b9e3"
"What can be sampled locally?",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027891279&doi=10.1145%2f3087801.3087815&partnerID=40&md5=8aaf1b2f13039a683ac6285013bdfaec"
"Effectiveness of delaying timestamp computation",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027872164&doi=10.1145%2f3087801.3087818&partnerID=40&md5=492b524717a1133298a0d52b832513a8"
"Clocked population protocols",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027866124&doi=10.1145%2f3087801.3087836&partnerID=40&md5=29128fdcbbd27e4fc93f7b7798cb93e3"
"A template for implementing fast lock-free trees using HTM",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027840879&doi=10.1145%2f3087801.3087834&partnerID=40&md5=392ec2b0f9d91b973794ec61c8238721"
"Randomized abortable mutual exclusion with constant amortized RMR complexity on the CC model",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027834119&doi=10.1145%2f3087801.3087837&partnerID=40&md5=a08b016241915b9cd2cd0563ca160934"
"VMCN: Virtual mobile cloud network for realizing scalable, real-time cyber physical systems",2016,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2955193.2955201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992757139&doi=10.1145%2f2955193.2955201&partnerID=40&md5=6dafb94080b6bd702ae3f61b306987d5"
"On the space complexity of set agreement",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957705831&doi=10.1145%2f2767386.2767406&partnerID=40&md5=bd88173d61547af0dc6e706854642c19"
"Lock-Free algorithms under stochastic schedulers",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957689302&doi=10.1145%2f2767386.2767430&partnerID=40&md5=95687c17dfef8e701526e35bdab60edc"
