Title,Year,Source title,DOI,Link
"BugDoc: A System for Debugging Computational Pipelines",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3384692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086280485&doi=10.1145%2f3318464.3384692&partnerID=40&md5=004fb7a91afa143603bd3dd8fc1bb79a"
"Automating Exploratory Data Analysis via Machine Learning: An Overview",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3383126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086278990&doi=10.1145%2f3318464.3383126&partnerID=40&md5=1ff79103c33f69423393247ddc86af75"
"Extending Graph Patterns with Conditions",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086277515&doi=10.1145%2f3318464.3380585&partnerID=40&md5=fca86dd7beb75f5f849a2d0ed16e0d06"
"Rethinking Logging, Checkpoints, and Recovery for High-Performance Storage Engines",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086275230&doi=10.1145%2f3318464.3389716&partnerID=40&md5=473637f158edc5bd32bef7d138710e46"
"PrIU: A Provenance-Based Approach for Incrementally Updating Regression Models",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086275168&doi=10.1145%2f3318464.3380571&partnerID=40&md5=48ffb238ae525f83341f507388b68b48"
"Order-Preserving Key Compression for In-Memory Search Trees",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086274145&doi=10.1145%2f3318464.3380583&partnerID=40&md5=d8e819aa9f250650ba9c7ebc2b42ffd8"
"Database Benchmarking for Supporting Real-Time Interactive Querying of Large Data",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086269841&doi=10.1145%2f3318464.3389732&partnerID=40&md5=c436fba943241b49a735ad844e6a907f"
"Vertica-ML: Distributed Machine Learning in Vertica Database",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3386137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086269333&doi=10.1145%2f3318464.3386137&partnerID=40&md5=82319203d8198216f60ee68c13225dcb"
"Fast Join Project Query Evaluation using Matrix Multiplication",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086268010&doi=10.1145%2f3318464.3380607&partnerID=40&md5=904a5fb2b5686bc079b3d1516641c4fb"
"Approximate Pattern Matching in Massive Graphs with Precision and Recall Guarantees",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086264676&doi=10.1145%2f3318464.3380566&partnerID=40&md5=26a1b7195a814030ddc2d6d3d8809983"
"Duoquest: A Dual-Specification System for Expressive SQL Queries",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086260631&doi=10.1145%2f3318464.3389776&partnerID=40&md5=1005048fc607c06c08b9c0ad31715e31"
"GIANT: Scalable Creation of a Web-scale Ontology",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3386145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086258085&doi=10.1145%2f3318464.3386145&partnerID=40&md5=f3f119d70861226e6ad6b75bedbf0074"
"High Performance Distributed OLAP on Property Graphs with Grasper",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3384685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086256669&doi=10.1145%2f3318464.3384685&partnerID=40&md5=5bf5436adbea044723f221f5ed7ef9de"
"Marviq: Quality-Aware Geospatial Visualization of Range-Selection Queries Using Materialization",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086248032&doi=10.1145%2f3318464.3389730&partnerID=40&md5=a4760c84a64444e0d991a7f92b98a2cb"
"BugDoc: Algorithms to Debug Computational Processes",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086247889&doi=10.1145%2f3318464.3389763&partnerID=40&md5=d9bfff2f75fd3e49df0b73f96ef103f1"
"Parallel Index-based Stream Join on a Multicore CPU",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086244568&doi=10.1145%2f3318464.3380576&partnerID=40&md5=4b4032e1f6e8f5075935a3e9f249eec8"
"Causal Relational Learning",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086243347&doi=10.1145%2f3318464.3389759&partnerID=40&md5=947d934d902d38b6c0add0da03bee7ba"
