Title,Year,Source title,DOI,Link
"Sugar: Secure GPU acceleration in web browsers",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045401994&doi=10.1145%2f3173162.3173186&partnerID=40&md5=ad603f646dd7c55c1058120afc708df8"
"FCatch: Automatically detecting time-of-fault bugs in cloud systems",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3177161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045375799&doi=10.1145%2f3173162.3177161&partnerID=40&md5=c6f8db5eb90e33e1bc08c4074c573b41"
"Locality transformations for nested recursive iteration spaces",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022003309&doi=10.1145%2f3037697.3037720&partnerID=40&md5=93be9c3ce95b0cb70afe758df06a53d1"
"An architecture supporting formal and compositional binary analysis",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021959469&doi=10.1145%2f3037697.3037733&partnerID=40&md5=ff17b61fe9022eda7ec0a3df364a20f5"
"Sound loop superoptimization for Google Native Client",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021878924&doi=10.1145%2f3037697.3037754&partnerID=40&md5=12a9e5382824c407c2305bc3a36034b9"
"Switches for HIRE: Resource scheduling for data center in-network computing",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104774941&doi=10.1145%2f3445814.3446760&partnerID=40&md5=e05fbf00058f1d5c9ff615575ed99cb7"
"Rethinking software runtimes for disaggregated memory",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104772812&doi=10.1145%2f3445814.3446713&partnerID=40&md5=7681638d8b05c870b93296c6f680f2f7"
"Quantifying the design-space tradeoffs in autonomous drones",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104749720&doi=10.1145%2f3445814.3446721&partnerID=40&md5=b32643452326f5f64dc96d1ad46c9155"
"Prolonging 3D NAND SSD lifetime via read latency relaxation",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104744799&doi=10.1145%2f3445814.3446733&partnerID=40&md5=747bad9d9d95097d0f86f556fe4402da"
"PMEM-spec: Persistent memory speculation (strict persistency can trump relaxed persistency)",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104733083&doi=10.1145%2f3445814.3446698&partnerID=40&md5=e1b2ac8dc0c392d58d192e0a5520e63e"
"Vectorization for digital signal processors via equality saturation",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104724096&doi=10.1145%2f3445814.3446707&partnerID=40&md5=b960acd7336175e76a4eb4ec060c3577"
"Compiler-driven FPGA virtualization with SYNERGY",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104702785&doi=10.1145%2f3445814.3446755&partnerID=40&md5=b9027fe1c86ecc8416ca5330652f06a7"
"CutQC: Using small Quantum computers for large Quantum circuit evaluations",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102120228&doi=10.1145%2f3445814.3446758&partnerID=40&md5=da89e7e0fc3367e722261641e0ce6be0"
"Game of threads: Enabling asynchronous poisoning attacks",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082400975&doi=10.1145%2f3373376.3378462&partnerID=40&md5=2d82aadddbf1e1c660d0a2fb1d544e23"
"Dimensionality-aware redundant SIMT instruction elimination",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082386758&doi=10.1145%2f3373376.3378520&partnerID=40&md5=2c9f5dff02d45d833d665690e6a8e356"
"Reproducible containers",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082386216&doi=10.1145%2f3373376.3378519&partnerID=40&md5=415dc2aeb139c412d402bf369e42e281"
"A benchmark suite for evaluating caches' vulnerability to timing attacks",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082385009&doi=10.1145%2f3373376.3378510&partnerID=40&md5=0665f5bd52283111fa1d0cd67d565735"
"Effective concurrency testing for distributed systems",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082383834&doi=10.1145%2f3373376.3378484&partnerID=40&md5=d102c7e64c2b41e3a32c67855d1603d8"
"Lazy Determinism for Faster Deterministic Multithreading",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064671282&doi=10.1145%2f3297858.3304047&partnerID=40&md5=49a626bd225e47d7a34163aeb48d60a3"
"Fast Fine-Grained Global Synchronization on GPUs",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064650031&doi=10.1145%2f3297858.3304055&partnerID=40&md5=cd524a380c34b294fdbf1c5b58f5e420"
"Bootstrapping: Using SMT Hardware to Improve Single-Thread Performance",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064198031&doi=10.1145%2f3297858.3304052&partnerID=40&md5=74d07063621b029a9b0b1938d9c850e7"
"StrongBox: Conidentiality, integrity, and performance using stream ciphers for full drive encryption",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045415963&doi=10.1145%2f3173162.3173183&partnerID=40&md5=4dd8d64a4ee90de9ad41e27faafb5e85"
"NEOFog: Nonvolatility-exploiting optimizations for fog computing",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3177154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045376833&doi=10.1145%2f3173162.3177154&partnerID=40&md5=eae1d8db9497a926dc054791a598f347"
