Title,Year,Source title,DOI,Link
"A survey of machine learning for big code and naturalness",2018,"ACM Computing Surveys","10.1145/3212695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053277340&doi=10.1145%2f3212695&partnerID=40&md5=a2499a6bfd92a97a87379fc38399463f"
"Systems of systems engineering: Basic concepts, model-based techniques, and research directions",2015,"ACM Computing Surveys","10.1145/2794381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942794318&doi=10.1145%2f2794381&partnerID=40&md5=eb4c4c47e746a15dc0deb4d7f628eed1"
"Web service composition: A survey of techniques and tools",2015,"ACM Computing Surveys","10.1145/2831270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950277228&doi=10.1145%2f2831270&partnerID=40&md5=4d7e0b8ddc482ff9811942fdd1dc9289"
"Current state of text sentiment analysis from opinion to emotion mining",2017,"ACM Computing Surveys","10.1145/3057270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023183339&doi=10.1145%2f3057270&partnerID=40&md5=6b6d8cd0e27bc2db63fec86ac5e0cf35"
"A comprehensive survey of deep learning for image captioning",2019,"ACM Computing Surveys","10.1145/3295748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061240474&doi=10.1145%2f3295748&partnerID=40&md5=50d2cc70709621f7af66ad8df55e45e2"
"A survey of communication protocols for internet of things and related challenges of fog and cloud computing integration",2019,"ACM Computing Surveys","10.1145/3292674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061181197&doi=10.1145%2f3292674&partnerID=40&md5=06eb478a7a7b6c7c59da11181a448a49"
"Taxonomy and survey of collaborative intrusion detection",2015,"ACM Computing Surveys","10.1145/2716260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930153452&doi=10.1145%2f2716260&partnerID=40&md5=45721d5744801a7c7422ed4b46ed3f88"
"Nudges for privacy and security: Understanding and assisting users’ choices online",2017,"ACM Computing Surveys","10.1145/3054926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027521672&doi=10.1145%2f3054926&partnerID=40&md5=5582449fed86ffee95d28a9784699ed4"
"Security and privacy on blockchain",2019,"ACM Computing Surveys","10.1145/3316481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070698571&doi=10.1145%2f3316481&partnerID=40&md5=525cfe2b955a1ba8650198d874d19360"
"Mobility increases localizability: A survey on wireless indoor localization using inertial sensors",2015,"ACM Computing Surveys","10.1145/2676430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929469749&doi=10.1145%2f2676430&partnerID=40&md5=c2cee9e76503e1d104339522286ab1c6"
"Allocation of virtual machines in cloud data centers-a survey of problem models and optimization algorithms",2015,"ACM Computing Surveys","10.1145/2797211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939815146&doi=10.1145%2f2797211&partnerID=40&md5=c4ecc3d47a2edb7743e909e4ceef49fb"
"Cloud computing: Survey on energy efficiency",2015,"ACM Computing Surveys","10.1145/2656204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925003007&doi=10.1145%2f2656204&partnerID=40&md5=c5b260038b99a5daf942f91494b96f27"
"The evolution of android malware and android analysis techniques",2017,"ACM Computing Surveys","10.1145/3017427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011342663&doi=10.1145%2f3017427&partnerID=40&md5=a2f8f0736e404bd79abc8c5ffbb3a0d1"
"WiFi sensing with channel state information: A survey",2019,"ACM Computing Surveys","10.1145/3310194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065873844&doi=10.1145%2f3310194&partnerID=40&md5=350089aa7d94f791acdbd9bc5d5ecf9a"
"Sequence-aware recommender systems",2018,"ACM Computing Surveys","10.1145/3190616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051748827&doi=10.1145%2f3190616&partnerID=40&md5=349490c8da1ef557a8c2389bbbcc5a2a"
"Connected car: Technologies, issues, future trends",2016,"ACM Computing Surveys","10.1145/2971482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994267550&doi=10.1145%2f2971482&partnerID=40&md5=961d7c882f6cffe25718b3b00f243906"
"Community discovery in dynamic networks: A survey",2018,"ACM Computing Surveys","10.1145/3172867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042585630&doi=10.1145%2f3172867&partnerID=40&md5=c596c977f870fa88956b820753e7e729"
"Visual SLAM and structure from motion in dynamic environments: A survey",2018,"ACM Computing Surveys","10.1145/3177853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042601417&doi=10.1145%2f3177853&partnerID=40&md5=fdbafa1d6b124f36b5876f9b4034aefc"
"Metamorphic testing: A review of challenges and opportunities",2018,"ACM Computing Surveys","10.1145/3143561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040704777&doi=10.1145%2f3143561&partnerID=40&md5=412506afb58a35173fd760b0a51da18f"
