Title,Year,Source title,DOI,Link
"Adaptive neural network finite-Time output feedback control of quantized nonlinear systems",2018,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2715980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023743027&doi=10.1109%2fTCYB.2017.2715980&partnerID=40&md5=b67fd5cb4ceb1fe706fcdf6e9015491e"
"Block-Row Sparse Multiview Multilabel Learning for Image Classification",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2403356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923658744&doi=10.1109%2fTCYB.2015.2403356&partnerID=40&md5=c7f7436f2294986bc6aa4f49a7259975"
"Adaptive Neural Network Control of a Marine Vessel with Constraints Using the Asymmetric Barrier Lyapunov Function",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2554621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968754243&doi=10.1109%2fTCYB.2016.2554621&partnerID=40&md5=eb83fd2aa5c04edcf14300b955714a6f"
"Adaptive Fuzzy Control of Strict-Feedback Nonlinear Time-Delay Systems With Unmodeled Dynamics",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2457894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940195450&doi=10.1109%2fTCYB.2015.2457894&partnerID=40&md5=7ad3fd6066141f87cab9e286d696a271"
"Adaptive Fault-Tolerant Control of Uncertain Nonlinear Large-Scale Systems With Unknown Dead Zone",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2456028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940736628&doi=10.1109%2fTCYB.2015.2456028&partnerID=40&md5=5f5bd6545fecf4871bf68d3b12e698bd"
"Stochastic Configuration Networks: Fundamentals and Algorithms",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2734043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028504529&doi=10.1109%2fTCYB.2017.2734043&partnerID=40&md5=7ce92441873abbe5ed9d40a3136679dd"
"Deep Multimodal Distance Metric Learning Using Click Constraints for Image Ranking",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2591583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981725681&doi=10.1109%2fTCYB.2016.2591583&partnerID=40&md5=62053363d41b0bcc723d09618ab54fa4"
"High Capacity Reversible Data Hiding in Encrypted Images by Patch-Level Sparse Representation",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2423678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928975189&doi=10.1109%2fTCYB.2015.2423678&partnerID=40&md5=d0bd2b6bc703b5e4992bf6bc763f2bbd"
"Possibility Distribution-Based Approach for MAGDM with Hesitant Fuzzy Linguistic Information",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2413894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926210927&doi=10.1109%2fTCYB.2015.2413894&partnerID=40&md5=0c42b7eed5dc5a34ee72d36be0a30089"
"A dynamic event-triggered transmission scheme for distributed set-membership estimation over wireless sensor networks",2019,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2769722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035756133&doi=10.1109%2fTCYB.2017.2769722&partnerID=40&md5=39ae569daf1cc229f823fd189d6f31c2"
"Cross-Modal Retrieval With CNN Visual Features: A New Baseline",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2519449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962592920&doi=10.1109%2fTCYB.2016.2519449&partnerID=40&md5=e4f2253ed6cf53dae5188e97773d6302"
"Adaptive NN tracking control of uncertain nonlinear discrete-time systems with nonaffine dead-zone input",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2329495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028172044&doi=10.1109%2fTCYB.2014.2329495&partnerID=40&md5=0fb5dba5d34116307b2d3d545336abd1"
"Finite Time Fault Tolerant Control for Robot Manipulators Using Time Delay Estimation and Continuous Nonsingular Fast Terminal Sliding Mode Control",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2555307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028323900&doi=10.1109%2fTCYB.2016.2555307&partnerID=40&md5=79c9b683588d60dec765321601a3d018"
"Value Iteration Adaptive Dynamic Programming for Optimal Control of Discrete-Time Nonlinear Systems",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2492242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946811900&doi=10.1109%2fTCYB.2015.2492242&partnerID=40&md5=44d56b57ad8d8324964781aa908d7753"
"Off-policy reinforcement learning for H∞ control design",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2319577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919730591&doi=10.1109%2fTCYB.2014.2319577&partnerID=40&md5=a081998b50203a53b772f08a77dc04e3"
"A Generic Deep-Learning-Based Approach for Automated Surface Inspection",2018,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2668395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014300937&doi=10.1109%2fTCYB.2017.2668395&partnerID=40&md5=fcbd86cb4063f02fb9cf6000f2716f11"
"Neural-Learning-Based Telerobot Control with Guaranteed Performance",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2573837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028713194&doi=10.1109%2fTCYB.2016.2573837&partnerID=40&md5=45003ff755d8c13cab774ca8801e131f"
"Leader-Following Consensus of Nonlinear Multiagent Systems With Stochastic Sampling",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2514119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959083758&doi=10.1109%2fTCYB.2015.2514119&partnerID=40&md5=f62dc328afd81cf4a0a23c64631218cf"
"3-D Human Action Recognition by Shape Analysis of Motion Trajectories on Riemannian Manifold",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2350774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933048626&doi=10.1109%2fTCYB.2014.2350774&partnerID=40&md5=ea8776edefe109b80eec9edfbee9740b"
"Control Synthesis of Discrete-Time T-S Fuzzy Systems via a Multi-Instant Homogenous Polynomial Approach",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2411336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925846455&doi=10.1109%2fTCYB.2015.2411336&partnerID=40&md5=cb6df29fe28b8889a5d7244c2c0b0143"
"Event-Triggered schemes on leader-following consensus of general linear multiagent systems under different topologies",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2510746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953337534&doi=10.1109%2fTCYB.2015.2510746&partnerID=40&md5=192e73eb55e6cf066908741d78698e1b"
"Neural-Based Adaptive Output-Feedback Control for a Class of Nonstrict-Feedback Stochastic Nonlinear Systems",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2363073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939790724&doi=10.1109%2fTCYB.2014.2363073&partnerID=40&md5=9526c145fb18a768642ecd779346961f"
"Fault detection for T-S fuzzy time-delay systems: Delta operator and input-output methods",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2323994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028150847&doi=10.1109%2fTCYB.2014.2323994&partnerID=40&md5=6d03e1b7b1bd62f42d80256a9a716351"
"Adaptive Neural Network Control of a Flapping Wing Micro Aerial Vehicle with Disturbance Observer",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2720801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029228092&doi=10.1109%2fTCYB.2017.2720801&partnerID=40&md5=7cc47e4efcbf6e89a79347633baf6c3b"
"Fuzzy Adaptive Quantized Control for a Class of Stochastic Nonlinear Uncertain Systems",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2405616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924103852&doi=10.1109%2fTCYB.2015.2405616&partnerID=40&md5=a9d699683d01c25e355c7be95f1355ee"
"An Efficient Method for Traffic Sign Recognition Based on Extreme Learning Machine",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2533424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960976707&doi=10.1109%2fTCYB.2016.2533424&partnerID=40&md5=d5c632448044092263cdf58de6dcefcd"
"Observer-Based Adaptive Fuzzy Tracking Control for Strict-Feedback Nonlinear Systems with Unknown Control Gain Functions",2020,"IEEE Transactions on Cybernetics","10.1109/TCYB.2020.2977175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084178979&doi=10.1109%2fTCYB.2020.2977175&partnerID=40&md5=e6e3844deb870a092ed724f1454f8d61"
"Distributed Cooperative Optimal Control for Multiagent Systems on Directed Graphs: An Inverse Optimal Approach",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2350511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028229548&doi=10.1109%2fTCYB.2014.2350511&partnerID=40&md5=8b1dfd463a6f7feb359b52552d24a7ed"
"Neural Network-Based Adaptive Leader-Following Consensus Control for a Class of Nonlinear Multiagent State-Delay Systems",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2608499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991070850&doi=10.1109%2fTCYB.2016.2608499&partnerID=40&md5=88901505f873228000b29ce40af188cd"
"On the Bipartite Consensus for Generic Linear Multiagent Systems with Input Saturation",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2612482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991065618&doi=10.1109%2fTCYB.2016.2612482&partnerID=40&md5=f013a0e40ace1dffa1954f6e78db727a"
